Buying Price,Buying Time,Selling Price,Selling Time,Profit
2041.800048828125,2024-02-05 12:30:00,2041.5,2024-02-05 07:15:00,-0.300048828125
2041.5999755859373,2024-02-05 16:45:00,2041.199951171875,2024-02-05 23:15:00,-0.4000244140622726
2043.199951171875,2024-02-06 01:30:00,2040.4000244140625,2024-02-06 05:15:00,-2.7999267578125
2042.0999755859373,2024-02-06 07:30:00,2051.300048828125,2024-02-06 20:00:00,9.200073242187727
2051.300048828125,2024-02-07 02:45:00,2051.39990234375,2024-02-06 20:15:00,0.099853515625
2052.0,2024-02-07 08:30:00,2050.0,2024-02-07 03:00:00,-2.0
2052.10009765625,2024-02-07 08:45:00,2051.39990234375,2024-02-07 13:15:00,-0.7001953125
2052.5,2024-02-07 20:30:00,2048.300048828125,2024-02-08 01:45:00,-4.199951171875
2045.0999755859373,2024-02-08 11:30:00,2048.0,2024-02-08 23:15:00,2.9000244140627274
2048.300048828125,2024-02-09 02:45:00,2048.39990234375,2024-02-08 23:30:00,0.099853515625
2039.5999755859373,2024-02-09 16:00:00,2046.0,2024-02-09 03:00:00,6.400024414062727
2039.699951171875,2024-02-11 18:15:00,2038.5999755859373,2024-02-09 16:30:00,-1.0999755859377274
2039.5999755859373,2024-02-11 18:45:00,2038.800048828125,2024-02-11 18:30:00,-0.7999267578122726
2039.4000244140625,2024-02-11 19:45:00,2038.5999755859373,2024-02-11 20:00:00,-0.8000488281252274
2038.0,2024-02-12 01:45:00,2035.5999755859373,2024-02-12 07:15:00,-2.4000244140627274
2040.5999755859373,2024-02-12 08:00:00,2032.800048828125,2024-02-12 08:45:00,-7.799926757812273
2032.9000244140625,2024-02-12 14:15:00,2032.4000244140625,2024-02-12 19:15:00,-0.5
2033.699951171875,2024-02-12 20:00:00,2032.300048828125,2024-02-12 21:45:00,-1.39990234375
2005.699951171875,2024-02-14 00:30:00,2024.800048828125,2024-02-13 08:30:00,19.10009765625
2005.5999755859373,2024-02-14 05:45:00,2004.800048828125,2024-02-14 01:15:00,-0.7999267578122726
2005.0999755859373,2024-02-14 06:30:00,2002.9000244140625,2024-02-14 07:45:00,-2.1999511718747726
2006.0999755859373,2024-02-14 11:45:00,2003.300048828125,2024-02-14 08:15:00,-2.7999267578122726
2004.4000244140625,2024-02-14 14:45:00,2003.5,2024-02-14 16:15:00,-0.9000244140625
2004.699951171875,2024-02-14 16:30:00,2003.699951171875,2024-02-14 22:15:00,-1.0
2004.699951171875,2024-02-15 02:00:00,2003.5,2024-02-15 00:45:00,-1.199951171875
2005.5999755859373,2024-02-15 02:15:00,2014.800048828125,2024-02-16 01:15:00,9.200073242187727
